__label__tha	Thai
__label__ton	Tonga-(Tonga-Islands)
__label__tpw	Tupí
__label__tru	Turoyo
__label__tuk	Turkmen
__label__tur	Turkish
__label__twf	Northern-Tiwa
__label__tyv	Tuvinian
__label__tzm	Central-Atlas-Tamazight
__label__uig	Uighur
__label__urd	Urdu
__label__urk	Urak-Lawoi'
__label__vol	Volapük
__label__vot	Votic
__label__wau	Waurá
__label__wbk	Waigali
__label__wiy	Wiyot
__label__wlm	Middle-Welsh
__label__wln	Walloon
__label__xal	Kalmyk
__label__ybi	Yamphu
__label__yid	Yiddish
__label__yor	Yoruba
__label__yue	Yue-Chinese
__label__yue	Yue-Chinese
__label__zha	Zhuang
__label__zho	Chinese
__label__zho	Chinese
__label__zom	Zou
__label__zul	Zulu
